arena;exp;maze;starving_cond;habituation_cond;first_choice;tot_time_blue;tot_time_oran;tot_time_neutral;rate_interactions_blue;rate_interactions_oran;max_consec_time_blue;max_consec_time_oran;tot_time_reinforc_obj
6;2;1;fed;unused;orange;1405.33584;2114.72736;79.71776;0.40540540540540543;0.5945945945945946;973.30144;816.2105599999999;
6;2;2;fed;unused;blue;116.12863999999999;0.0;3483.6523199999997;1.0;0.0;67.44287999999999;0.0;
8;2;0;fed;unused;orange;249.18695999999997;2067.0415199999998;1283.5524799999998;0.3076923076923077;0.6923076923076923;84.44152;433.75839999999994;
8;2;1;fed;unused;blue;0.03448;3395.4179999999997;204.32847999999998;0.0;1.0;0.03448;3368.79944;
8;2;2;fed;unused;blue;406.38127999999995;940.6143999999999;2252.7852799999996;0.1935483870967742;0.8064516129032258;332.90439999999995;284.90824;
2;4;0;fed;unused;orange;709.5639199999999;1209.35152;1680.8655199999998;0.4625;0.5375;85.78623999999999;279.66727999999995;
2;4;1;fed;unused;orange;1071.3625599999998;1920.2256799999998;608.1927199999999;0.4440894568690096;0.5559105431309904;37.68664;106.37079999999999;
2;4;2;fed;unused;blue;744.6645599999999;447.51591999999994;2407.6004799999996;0.38636363636363635;0.6136363636363636;555.71416;99.50927999999999;
7;4;0;fed;unused;orange;886.7221599999999;1215.6613599999998;1497.39744;0.6060606060606061;0.3939393939393939;307.0444;608.9168;
7;4;1;fed;unused;orange;0.0;0.03448;3599.74648;;;0.0;0.03448;
7;4;2;fed;unused;orange;11.309439999999999;2264.8877599999996;1323.58376;0.07692307692307693;0.9230769230769231;11.068079999999998;1865.0231999999999;
1;4;0;fed;unused;orange;992.57576;807.2112799999999;1799.99392;0.5277777777777778;0.4722222222222222;104.02615999999999;62.99495999999999;
1;4;1;fed;unused;orange;442.51631999999995;2371.2930399999996;785.9716;0.26851851851851855;0.7314814814814815;46.82384;185.60583999999997;
1;4;2;fed;unused;blue;1380.61368;1049.36432;1169.80296;0.4807692307692308;0.5192307692307693;362.79855999999995;97.40599999999999;
0;4;0;fed;unused;blue;3597.1259999999997;0.0;2.6549599999999995;1.0;0.0;2270.09424;0.0;
0;4;1;fed;unused;blue;1949.5681599999998;1595.63096;54.58183999999999;0.5428571428571428;0.45714285714285713;220.84439999999998;311.97504;
0;4;2;fed;unused;blue;1390.3025599999999;1560.7716799999998;648.7067199999999;0.48514851485148514;0.5148514851485149;449.41231999999997;397.14063999999996;
3;4;0;fed;unused;blue;1579.8391199999999;931.1324;1088.80944;0.43137254901960786;0.5686274509803921;435.79272;253.29008;
3;4;1;fed;unused;orange;956.8199999999999;2389.6364;253.32455999999996;0.4;0.6;264.25471999999996;1333.8932799999998;
3;4;2;fed;unused;orange;467.34191999999996;1202.42104;1930.0179999999998;0.47058823529411764;0.5294117647058824;106.64663999999999;617.2264799999999;
5;4;0;fed;unused;orange;725.66608;1060.3634399999999;1813.7514399999998;0.45;0.55;120.71448;123.0936;
5;4;1;fed;unused;orange;452.82583999999997;2288.02384;858.9312799999999;0.391304347826087;0.6086956521739131;68.13247999999999;753.7672799999999;
5;4;2;fed;unused;blue;1046.60592;524.7511199999999;2028.4239199999997;0.4634146341463415;0.5365853658536586;201.74247999999997;73.51136;
